evidence_id,team,match_id,restart_type,shot_outcome,termination_reason,censoring_reason,reviewer_1_restart_valid,reviewer_2_restart_valid,reviewer_1_boundary_valid,reviewer_2_boundary_valid,adjudication,notes
DB-3913079-651,Arsenal WFC,3913079,central_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3913115-1259,Aston Villa W,3913115,central_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3912596-1753,Brighton & Hove Albion WFC,3912596,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913079-1138,Bristol City WFC,3913079,central_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912597-1528,Chelsea FCW,3912597,central_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912602-1589,Everton LFC,3912602,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913095-3024,Leicester City WFC,3913095,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913070-949,Liverpool WFC,3913070,central_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3913088-793,Manchester City WFC,3913088,central_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3913071-1499,Manchester United W,3913071,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913075-60,Tottenham Hotspur Women,3913075,central_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912599-2575,West Ham United LFC,3912599,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913073-1734,Arsenal WFC,3913073,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913087-246,Aston Villa W,3913087,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913133-1653,Brighton & Hove Albion WFC,3913133,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913122-2467,Bristol City WFC,3913122,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913121-3280,Chelsea FCW,3913121,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912596-1509,Everton LFC,3912596,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913119-265,Leicester City WFC,3913119,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913108-1474,Liverpool WFC,3913108,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913150-3664,Manchester City WFC,3913150,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913071-3587,Manchester United W,3913071,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913109-1945,Tottenham Hotspur Women,3913109,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913130-2326,West Ham United LFC,3913130,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912595-43,Arsenal WFC,3912595,corner,False,time_limit,time_limit,,,,,,
DB-3912592-151,Aston Villa W,3912592,corner,False,time_limit,time_limit,,,,,,
DB-3912596-2554,Brighton & Hove Albion WFC,3912596,corner,False,time_limit,time_limit,,,,,,
DB-3912594-224,Bristol City WFC,3912594,corner,False,time_limit,time_limit,,,,,,
DB-3912597-2307,Chelsea FCW,3912597,corner,False,loss,,,,,,,
DB-3912596-3532,Everton LFC,3912596,corner,False,loss,,,,,,,
DB-3912594-746,Leicester City WFC,3912594,corner,False,stoppage,,,,,,,
DB-3912595-921,Liverpool WFC,3912595,corner,False,time_limit,time_limit,,,,,,
DB-3912593-123,Manchester City WFC,3912593,corner,False,time_limit,time_limit,,,,,,
DB-3912592-2788,Manchester United W,3912592,corner,False,time_limit,time_limit,,,,,,
DB-3912597-81,Tottenham Hotspur Women,3912597,corner,False,loss,,,,,,,
DB-3912599-2111,West Ham United LFC,3912599,corner,False,reset,,,,,,,
DB-3912595-759,Arsenal WFC,3912595,corner,True,shot,,,,,,,
DB-3912592-616,Aston Villa W,3912592,corner,True,shot,,,,,,,
DB-3913074-325,Brighton & Hove Albion WFC,3913074,corner,True,shot,,,,,,,
DB-3912594-2361,Bristol City WFC,3912594,corner,True,shot,,,,,,,
DB-3912597-250,Chelsea FCW,3912597,corner,True,shot,,,,,,,
DB-3912596-2150,Everton LFC,3912596,corner,True,shot,,,,,,,
DB-3912594-136,Leicester City WFC,3912594,corner,True,shot,,,,,,,
DB-3913070-1619,Liverpool WFC,3913070,corner,True,shot,,,,,,,
DB-3912593-2156,Manchester City WFC,3912593,corner,True,shot,,,,,,,
DB-3912592-356,Manchester United W,3912592,corner,True,shot,,,,,,,
DB-3912597-3308,Tottenham Hotspur Women,3912597,corner,True,shot,,,,,,,
DB-3913069-2141,West Ham United LFC,3913069,corner,True,shot,,,,,,,
DB-3912598-2157,Arsenal WFC,3912598,direct_free_kick_shot,True,shot,,,,,,,
DB-3913073-3633,Aston Villa W,3913073,direct_free_kick_shot,True,shot,,,,,,,
DB-3912599-3102,Brighton & Hove Albion WFC,3912599,direct_free_kick_shot,True,shot,,,,,,,
DB-3913122-2240,Bristol City WFC,3913122,direct_free_kick_shot,True,shot,,,,,,,
DB-3913069-2905,Chelsea FCW,3913069,direct_free_kick_shot,True,shot,,,,,,,
DB-3913147-622,Everton LFC,3913147,direct_free_kick_shot,True,shot,,,,,,,
DB-3912594-1503,Leicester City WFC,3912594,direct_free_kick_shot,True,shot,,,,,,,
DB-3912595-1084,Liverpool WFC,3912595,direct_free_kick_shot,True,shot,,,,,,,
DB-3912600-421,Manchester City WFC,3912600,direct_free_kick_shot,True,shot,,,,,,,
DB-3913071-2188,Manchester United W,3913071,direct_free_kick_shot,True,shot,,,,,,,
DB-3912601-968,Tottenham Hotspur Women,3912601,direct_free_kick_shot,True,shot,,,,,,,
DB-3913080-2965,West Ham United LFC,3913080,direct_free_kick_shot,True,shot,,,,,,,
