evidence_id,team,match_id,restart_type,shot_outcome,termination_reason,censoring_reason,reviewer_1_restart_valid,reviewer_2_restart_valid,reviewer_1_boundary_valid,reviewer_2_boundary_valid,adjudication,notes
DB-3895074-3425,Bayer Leverkusen,3895074,central_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3895182-718,Bochum,3895182,central_final_third_free_kick_pass,False,loss,,,,,,,
DB-3895134-3328,Hoffenheim,3895134,central_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3895139-3929,Union Berlin,3895139,central_final_third_free_kick_pass,False,loss,,,,,,,
DB-3895202-1395,Bayer Leverkusen,3895202,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895074-1524,Bayern Munich,3895074,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895067-963,Darmstadt 98,3895067,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895250-229,FSV Mainz 05,3895250,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895275-1268,Freiburg,3895275,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895052-2795,RB Leipzig,3895052,central_final_third_free_kick_pass,True,shot,,,,,,,
DB-3895348-2126,Augsburg,3895348,corner,False,time_limit,time_limit,,,,,,
DB-3895052-2053,Bayer Leverkusen,3895052,corner,False,time_limit,time_limit,,,,,,
DB-3895074-861,Bayern Munich,3895074,corner,False,loss,,,,,,,
DB-3895182-335,Bochum,3895182,corner,False,loss,,,,,,,
DB-3895158-2799,Borussia Dortmund,3895158,corner,False,time_limit,time_limit,,,,,,
DB-3895060-263,Borussia Mönchengladbach,3895060,corner,False,loss,,,,,,,
DB-3895067-935,Darmstadt 98,3895067,corner,False,loss,,,,,,,
DB-3895180-360,Eintracht Frankfurt,3895180,corner,False,time_limit,time_limit,,,,,,
DB-3895086-2149,FC Heidenheim,3895086,corner,False,reset,,,,,,,
DB-3895107-3378,FC Köln,3895107,corner,False,event_limit,event_limit,,,,,,
DB-3895095-2451,FSV Mainz 05,3895095,corner,False,loss,,,,,,,
DB-3895121-3683,Freiburg,3895121,corner,False,event_limit,event_limit,,,,,,
DB-3895134-2325,Hoffenheim,3895134,corner,False,time_limit,time_limit,,,,,,
DB-3895052-1008,RB Leipzig,3895052,corner,False,loss,,,,,,,
DB-3895139-2741,Union Berlin,3895139,corner,False,loss,,,,,,,
DB-3895167-64,VfB Stuttgart,3895167,corner,False,loss,,,,,,,
DB-3895113-747,Wolfsburg,3895113,corner,False,loss,,,,,,,
DB-3895348-2860,Augsburg,3895348,corner,True,shot,,,,,,,
DB-3895052-1476,Bayer Leverkusen,3895052,corner,True,shot,,,,,,,
DB-3895074-291,Bayern Munich,3895074,corner,True,shot,,,,,,,
DB-3895340-322,Bochum,3895340,corner,True,shot,,,,,,,
DB-3895309-2089,Borussia Dortmund,3895309,corner,True,shot,,,,,,,
DB-3895060-3104,Borussia Mönchengladbach,3895060,corner,True,shot,,,,,,,
DB-3895220-961,Darmstadt 98,3895220,corner,True,shot,,,,,,,
DB-3895180-185,Eintracht Frankfurt,3895180,corner,True,shot,,,,,,,
DB-3895107-416,FC Köln,3895107,corner,True,shot,,,,,,,
DB-3895095-1121,FSV Mainz 05,3895095,corner,True,shot,,,,,,,
DB-3895121-2797,Freiburg,3895121,corner,True,shot,,,,,,,
DB-3895134-2708,Hoffenheim,3895134,corner,True,shot,,,,,,,
DB-3895052-466,RB Leipzig,3895052,corner,True,shot,,,,,,,
DB-3895292-1417,Union Berlin,3895292,corner,True,shot,,,,,,,
DB-3895167-239,VfB Stuttgart,3895167,corner,True,shot,,,,,,,
DB-3895153-1531,Werder Bremen,3895153,corner,True,shot,,,,,,,
DB-3895113-1803,Wolfsburg,3895113,corner,True,shot,,,,,,,
DB-3895348-2729,Augsburg,3895348,direct_free_kick_shot,True,shot,,,,,,,
DB-3895067-1648,Bayer Leverkusen,3895067,direct_free_kick_shot,True,shot,,,,,,,
