match_id,date,opponent,venue,shots,xg,final_third_entries,box_entries,progressive_actions,build_up_exits,high_regains
3895052,2023-08-19,RB Leipzig,home,11.0,1.523364167,50.0,13.0,75.0,10.0,16.0
3895060,2023-08-26,Borussia Mönchengladbach,away,24.0,2.719870674,72.0,30.0,111.0,8.0,17.0
3895067,2023-09-02,Darmstadt 98,home,25.0,3.304641177,101.0,30.0,117.0,0.0,18.0
3895074,2023-09-15,Bayern Munich,away,13.0,2.218056773,47.0,18.0,85.0,5.0,10.0
3895086,2023-09-24,FC Heidenheim,home,21.0,3.7083720540000003,91.0,29.0,119.0,2.0,22.0
3895095,2023-09-30,FSV Mainz 05,away,6.0,0.793664845,48.0,10.0,65.0,6.0,7.0
3895107,2023-10-08,FC Köln,home,23.0,2.9421685534,63.0,27.0,95.0,5.0,21.0
3895113,2023-10-21,Wolfsburg,away,13.0,1.962671917,57.0,22.0,105.0,6.0,13.0
3895121,2023-10-29,Freiburg,home,18.0,1.4253422826,91.0,28.0,97.0,3.0,19.0
3895134,2023-11-04,Hoffenheim,away,10.0,1.274476137,61.0,22.0,108.0,8.0,11.0
3895139,2023-11-12,Union Berlin,home,18.0,1.883218353,81.0,19.0,94.0,0.0,10.0
3895153,2023-11-25,Werder Bremen,away,14.0,1.091059273,52.0,24.0,99.0,5.0,15.0
3895158,2023-12-03,Borussia Dortmund,home,24.0,2.144726791,87.0,36.0,116.0,2.0,36.0
3895167,2023-12-10,VfB Stuttgart,away,19.0,1.532379643,48.0,20.0,72.0,3.0,13.0
3895180,2023-12-17,Eintracht Frankfurt,home,14.0,2.753240414,58.0,23.0,110.0,6.0,17.0
3895182,2023-12-20,Bochum,home,16.0,3.4008051630000002,56.0,24.0,102.0,6.0,10.0
3895194,2024-01-13,Augsburg,away,25.0,1.575537092,90.0,38.0,111.0,3.0,26.0
3895202,2024-01-20,RB Leipzig,away,18.0,1.8806014,52.0,27.0,74.0,2.0,8.0
3895210,2024-01-27,Borussia Mönchengladbach,home,28.0,2.561261506,126.0,43.0,108.0,5.0,38.0
3895220,2024-02-03,Darmstadt 98,away,20.0,1.9519170069999998,59.0,25.0,87.0,8.0,18.0
3895232,2024-02-10,Bayern Munich,home,14.0,1.033846879,28.0,13.0,54.0,6.0,6.0
3895244,2024-02-17,FC Heidenheim,away,18.0,1.8190613249999998,52.0,24.0,114.0,13.0,16.0
3895250,2024-02-23,FSV Mainz 05,home,17.0,1.1127182105,62.0,19.0,88.0,6.0,16.0
3895258,2024-03-03,FC Köln,away,17.0,1.2933706569999999,122.0,25.0,136.0,3.0,13.0
3895266,2024-03-10,Wolfsburg,home,19.0,1.7859470585,107.0,30.0,81.0,2.0,19.0
3895275,2024-03-17,Freiburg,away,19.0,2.596176258,66.0,24.0,100.0,5.0,21.0
3895286,2024-03-30,Hoffenheim,home,34.0,2.769983018,112.0,48.0,109.0,10.0,37.0
3895292,2024-04-06,Union Berlin,away,20.0,2.5635430059999997,80.0,25.0,122.0,2.0,14.0
3895302,2024-04-14,Werder Bremen,home,20.0,3.004243277,64.0,18.0,95.0,5.0,19.0
3895309,2024-04-21,Borussia Dortmund,away,13.0,1.3641123442,60.0,24.0,99.0,3.0,10.0
3895320,2024-04-27,VfB Stuttgart,home,14.0,1.652524151,51.0,18.0,79.0,3.0,14.0
3895333,2024-05-05,Eintracht Frankfurt,away,9.0,2.585808739,37.0,9.0,76.0,8.0,7.0
3895340,2024-05-12,Bochum,away,29.0,4.301661423,76.0,34.0,111.0,9.0,12.0
3895348,2024-05-18,Augsburg,home,20.0,2.164920404,84.0,29.0,110.0,5.0,20.0
